Verein,Land,"Jugendspieler in Akademie","Jugendspieler befördert",Transfererlös
"Arsenal Washington 94","Vereinigte Staaten",340,112,503934546
"Uni Søborg",Dänemark,348,168,503600624
"GSV Barsinghausen",Deutschland,220,104,502736416
"OLFK Bischofswerda",Deutschland,337,185,501881900
"Başektaş Istanbul",Türkei,347,149,500859043
"Lava Southport",England,184,118,500657037
"Mahikeng Platins",Südafrika,197,152,500034341
"GKS Szczecin",Polen,262,135,499586417
"JSV Göttingen 1908",Deutschland,256,153,497515348
"Herakles Thessaloniki ",Griechenland,338,187,496169560
"BA Avellaneda",Argentinien,240,161,495993837
"Unire Botoșani",Rumänien,235,117,494628728
"Sunny Lowestoft",England,278,177,493049763
"Union Aplerbeck",Deutschland,281,152,491209037
"HSV Kiel",Deutschland,270,124,488066792
"Huddersfield Sports",England,300,130,484019028
"North Carolina Hoaks","Vereinigte Staaten",118,95,483922105
"Parathanikaos Athen",Griechenland,323,162,482379573
"Borussia Fürth",Deutschland,295,172,481753572
"Fortuna Essen",Deutschland,292,168,481154066
"Royaal Anderlecht",Belgien,351,188,480994858
"SC Deku",Sri Lanka,201,133,480704380
"QSFC Dumfries",Schottland,288,170,479303989
"Ballsport Dortmund",Deutschland,359,182,478337590
"AK Sluvaria Praha",Tschechien,173,126,477215251
"FK Rio do Conde",Portugal,279,178,476647581
"Lukumotiva Moskva",Russland,264,129,475555606
"HSV Frankfurt",Deutschland,357,164,475043963
"Union Magdeburg",Deutschland,381,132,473565842
"GdL Leipzig",Deutschland,330,129,473059453
"FV Nürnberg 1907",Deutschland,276,142,472502550
"Voretfent Kōfu",Japan,282,127,469893745
"Wolverhampton Town",England,323,162,469774383
"Zhunit St. Peterburg",Russland,243,122,466902331
"Preußen Unterföhring",Deutschland,216,114,466541171
"Hérakles Alicante",Spanien,267,125,466536524
"LB Bonfica",Portugal,374,187,466068230
"Sachen Markranstädt",Deutschland,298,145,465930852
"BK Rusenborg",Norwegen,360,163,463808258
"Sporting Genk",Belgien,249,124,463800962
"Borussia Wuppertal",Deutschland,232,115,462475039
"Wigan Dynamic",England,236,119,461122831
"Derry United",Irland,275,151,460371323
"Sporting Lecco",Italien,295,149,459822990
"Partizan 1945 FK",Serbien,243,133,459770125
"AS Cello Verona",Italien,246,112,459355548
"Everton Soccer",England,307,140,459018922
"Vancouver Blueheads CF","Vereinigte Staaten",241,164,457572519
"Inter Renate",Italien,325,156,456299679
"FK Sachsen Aue",Deutschland,267,126,454512398
"FK Aberdeen 1904",Schottland,242,139,453189388
"Nailsworth FC",England,264,121,452901268
"Manchester Devils",England,365,152,452686811
"Real Mouscron",Belgien,201,138,450725399
"FK Lillestrøm",Norwegen,181,107,449528413
"Oxford Bulls",England,291,116,449416010
"Java Street FC",Sri Lanka,243,167,448224320
"Hull Tigers",England,313,137,447639415
"FC Colombo",Sri Lanka,275,177,447008181
"FK Raptor Wien",Österreich,308,159,446646024
"SC Wecker Innsbruck",Österreich,297,124,445957168
"AC Cagliari",Italien,322,147,445628263
"Calgary Town",Kanada,315,161,444809274
"Bromma Stockholm",Schweden,268,158,444522538
"SAT Conakry",Guinea,185,142,443972593
"Ratinger SC 1905",Deutschland,252,137,443810065
"KFV Rijeka",Kroatien,270,112,442697565
"FVV Hamburg",Deutschland,297,97,441704494
"FC Helsingborg",Schweden,337,152,440497336
"Royal Sevilla",Spanien,345,176,439330324
"Kupaz Ganja",Aserbaidschan,176,117,434895359
"Hộichơi Quảng Nam",Vietnam,137,130,431178085
"ZKU Jekaterinburg",Russland,255,123,429884928
"AS Chapecó",Brasilien,211,129,429671694
"Bota João Pessoa",Brasilien,132,124,429022152
"CFC Barcelona",Spanien,378,197,428614922
"Rayo Pobla de Mafumet",Spanien,312,139,428299895
"Montreal Attack SC","Vereinigte Staaten",302,142,428290048
"Sheffield Swords ",England,194,85,425693677
"CS Villareal",Spanien,276,107,425612672
"SD Granada",Spanien,264,154,425413547
"Parisien FK",Frankreich,208,140,425014863
"Święto Kielce",Polen,297,164,424585274
"Marajó Paysandu",Brasilien,239,134,424526439
"NFV Meppen",Deutschland,288,140,423901690
"VfL Arnoldsweiler",Deutschland,213,133,423336005
"Union Neubrandenburg",Deutschland,282,149,421192837
"KSC Palanca",Angola,171,131,421164589
"ZSK Omsk",Russland,238,143,420772391
"Ite Hiroshima",Japan,286,123,419913171
"Schwarz-Weiß Aalen",Deutschland,297,114,418406948
"1.FK Hannover ",Deutschland,328,152,418372784
"Ružomberok FC",Slowakei,229,148,417320128
"WSV Kristall Wattens",Österreich,238,151,417053032
"Lohfelder FC",Deutschland,227,136,416873592
"SL Army SC",Sri Lanka,285,170,415635136
"SFC Ravensburg",Deutschland,315,154,414984740
"Høgesund FC",Norwegen,295,161,414914565
"Brisbane Lions",Australien,322,177,414307607
"San Nicolás Tigres",Mexiko,246,137,414094024
"Blau-Schwarz Mannheim",Deutschland,297,155,413672923
"FTE Gaillard",Frankreich,247,113,413155269
"Teplice CF",Tschechien,188,74,413097145
"Sportivo Criciúma",Brasilien,245,143,412688977
"Farak Grosny",Russland,360,179,412089906
"FK Ajaccio",Frankreich,254,120,411937905
"US Høddvik",Norwegen,344,198,411519464
"Derby United",England,248,132,411398227
"Speertak Rotterdam",Niederlande,243,157,410715799
"RNK Walldorf",Deutschland,216,129,409802022
"SSV Napoli",Italien,298,152,409720338
"SC Stadl-Paura",Österreich,298,159,408031318
"Slugia Warszawa",Polen,193,126,407932169
"FK Viborg",Dänemark,341,183,407656292
"AC Palermo ",Italien,316,134,407309239
"Inter Campodarsego",Italien,116,99,407020744
"Citadelle Belfort",Frankreich,335,186,406501256
"FC Nounana",Gabun,129,121,405657978
"Patata Avellaneda",Argentinien,116,109,405466002
"FK Neretva Mostar","Bosnien und Herzegowina",252,116,404326860
"Terme Monte",Italien,130,108,404117183
"NFV Lüneburg",Deutschland,211,117,402797138
"US Lyon 1965",Frankreich,318,136,402791035
"Fortuna Dudelange",Luxemburg,263,162,402648103
"FK Ioannina",Griechenland,344,115,402544423
"Victoria Düsseldorf",Deutschland,330,177,402348991
" Spreča Lukavac","Bosnien und Herzegowina",214,75,402210537
"Army of Sri Lanka FC",Sri Lanka,196,111,401639864
"DB Spakenburg",Niederlande,342,114,401391426
